shipName,shipID,tier,is_premium,nation,reloadTime,barrels,guns,RPM
Seattle,4075730928,9,FALSE,usa,6,3,4,110.4
Cleveland,4076779504,8,FALSE,usa,6,3,4,110.4
Helena,4077828080,7,FALSE,usa,8,3,5,106.5
Z-35,3751687984,8,TRUE,germany,3,1,5,88
?sterg?tland,4180555056,9,FALSE,europe,2,2,2,104.4
?land,4181603632,8,FALSE,europe,2,2,2,104.4
Cassard,4284364624,10,FALSE,france,3,2,3,102.6
Admiraal,3258890000,8,FALSE,netherlands,6,2,5,100
Salem,3550394352,10,FALSE,usa,5,3,3,98.1
Izyaslav,4185798096,4,FALSE,ussr,5,1,5,60
Huron,3752736112,7,TRUE,commonwealth,4,2,3,85.8
Des Moines,4273911792,10,FALSE,usa,5,3,3,98.1
Smith,3768465392,2,TRUE,usa,3,1,5,85.5
Hayate,3760076496,10,FALSE,japan,3,2,3,97.2
Austin,3445536752,10,FALSE,usa,7,2,6,96
Kunming,4178457808,11,FALSE,pan_asia,5,2,4,96
Khabarovsk,4179506640,10,FALSE,ussr,5,2,4,96
Lambros Katsonis,4075697456,9,FALSE,europe,3,1,6,94.8
Illinois,3729733616,9,TRUE,usa,9,4,3,80.4
Lazo B,3699291600,7,TRUE,ussr,9,3,4,80.4
Lazo,3751720400,7,TRUE,ussr,9,3,4,80.4
Z-52,4179506992,10,FALSE,germany,3,2,3,94.8
Edinburgh,4181637072,8,FALSE,uk,7,3,4,93.6
Statenland,3248404240,8,FALSE,netherlands,6,2,5,92
Caledon,4186879952,3,FALSE,uk,8,1,5,37.5
Somme,3750639568,9,TRUE,uk,4,2,3,79.8
Orkan,3762173232,8,TRUE,europe,4,2,3,79.8
Mahan,4288559088,7,FALSE,usa,3,1,5,91
Caradoc,4281251184,3,FALSE,commonwealth,8,1,5,35.5
Ochakov,3741234640,8,TRUE,ussr,6,2,4,78.4
Zorkiy,4178458064,11,FALSE,ussr,5,2,4,90.4
Kaiser,4185863984,4,FALSE,germany,26,2,5,23
Tiger '59,3751720912,8,TRUE,uk,3,2,2,75.2
Benson,4286461936,8,FALSE,usa,3,1,5,90
Moltke,4081006384,4,FALSE,germany,30,2,5,20
De Zeven Provinci?n,3762206480,8,TRUE,netherlands,6,2,4,73.6
Fletcher,4272830448,9,FALSE,usa,3,1,5,90
Mogami,4285445840,8,FALSE,japan,10,3,5,90
Bellerophon,4186912720,3,FALSE,uk,30,2,5,20
Orion,4185864144,4,FALSE,uk,30,2,5,20
Halford,3750639600,9,TRUE,usa,3,1,4,72.8
Benham,3761125360,9,TRUE,usa,3,1,4,72.8
Sims B,3668850672,7,TRUE,usa,3,1,4,72
Belfast '43,3741235152,8,TRUE,uk,10,3,4,72
Chapayev,4181636560,8,FALSE,ussr,8,3,4,90
Rattlehead,3765352432,5,TRUE,usa,6,1,8,72
Fiji,4182685648,7,FALSE,uk,8,3,4,90
Haida,3763221872,7,TRUE,commonwealth,5,2,3,72
Knyaz Suvorov,4186912208,3,FALSE,ussr,36,2,5,17
Shchors,4182685136,7,FALSE,ussr,8,3,4,90
Yueyang,4179506384,10,FALSE,pan_asia,4,2,3,90
Z-46,4180555568,9,FALSE,germany,4,2,3,90
N?rnberg,4183734064,6,FALSE,germany,6,3,3,90
Incheon,3550393552,10,FALSE,pan_asia,5,2,4,87.2
?lvaro de?Baz?n,3760076208,10,FALSE,spain,5,2,4,87.2
Attilio Regolo,4179506928,10,FALSE,italy,5,2,4,87.2
Yodo,4074682064,10,FALSE,japan,12,3,6,86.4
Marblehead Lima,4247697392,5,TRUE,usa,6,1,8,72
Marblehead,4248745968,5,TRUE,usa,6,1,8,72
Sims,4264441840,7,TRUE,usa,3,1,4,72
Z-44,3750639408,9,TRUE,germany,4,1,5,71.5
Rahmat,4183733456,6,FALSE,pan_asia,7,2,5,86
Dido,3743332304,6,TRUE,uk,8,2,5,71
[Grozovoi],3340645840,10,FALSE,ussr,4,2,3,85.8
Grozovoi,4074649040,10,FALSE,ussr,4,2,3,85.8
Chung Mu,4180554960,9,FALSE,pan_asia,3,1,5,85.5
Orage,4274927440,9,FALSE,france,4,2,3,84
Almirante Grau,3762206032,8,TRUE,pan_america,7,2,4,68.8
Split,4076746032,8,FALSE,europe,3,1,5,83.5
Coronel Bolognesi,4182685008,7,FALSE,pan_america,6,3,3,82.8
Uganda,4277056880,7,FALSE,commonwealth,6,3,3,81.9
Leipzig,3753817904,6,TRUE,germany,7,3,3,68.4
Vladimir Monomakh,3267278288,10,FALSE,ussr,6,2,4,80
Kitakami,3655251664,10,FALSE,japan,3,1,4,80
Somers,3760076784,10,FALSE,usa,6,2,4,80
Alexander Nevsky,4074681808,10,FALSE,ussr,6,2,4,80
Yamagiri,4178458320,11,FALSE,japan,4,2,3,79.8
De Grasse,3764303696,6,TRUE,france,8,3,3,66.6
Lightning,4181604304,8,FALSE,uk,4,2,3,79.8
Johnston,3540924400,9,TRUE,usa,4,1,5,66.5
Santander,4180587856,9,FALSE,pan_america,7,3,3,77.4
Stord?'43,3543020848,7,TRUE,europe,3,1,4,64.8
Perth,3764303216,6,TRUE,commonwealth,7,2,4,64
Duca d'Aosta,3764303600,6,TRUE,italy,7,2,4,64
L'Aventurier,4275976016,8,FALSE,france,4,2,3,76.8
Sk?ne,4182652208,7,FALSE,europe,3,2,2,75.2
Farragut,4289607664,6,FALSE,usa,4,1,5,75
Montcalm,3544102736,6,TRUE,france,8,3,3,63
[Hindenburg],3340678960,10,FALSE,germany,9,3,4,73.2
Hindenburg,4179539760,10,FALSE,germany,9,3,4,73.2
Hill,3765319664,5,TRUE,usa,4,1,5,62.5
Aigle,3764270928,6,TRUE,france,4,1,5,62.5
La Pampa,3550360912,10,FALSE,pan_america,3,2,2,72.8
Tulsa,3750672368,9,TRUE,usa,5,2,3,61.8
Buffalo,4180588528,9,FALSE,usa,10,3,4,72
Hsienyang,4181603536,8,FALSE,pan_asia,3,1,4,72
Minegumo,3540924112,9,TRUE,japan,6,2,3,60
BA Takahashi,3436099280,9,TRUE,japan,15,3,5,60
Neustrashimy,3551409616,9,TRUE,ussr,4,2,2,60
Hampshire,3730749392,8,TRUE,uk,10,2,5,60
Le?Terrible,3762173776,8,TRUE,france,5,1,5,60
Elli,3764303152,6,TRUE,europe,8,2,4,60
Leningrad,3763221968,7,TRUE,ussr,5,1,5,60
T-61,3764270896,6,TRUE,germany,4,1,4,60
Delny,3864933840,10,FALSE,ussr,5,2,3,72
Kiev,3971888592,8,FALSE,ussr,5,2,3,72
Tashkent,3865982416,9,FALSE,ussr,5,2,3,72
Gadjah Mada,4182652112,7,FALSE,pan_asia,5,2,3,72
Jervis,4182652880,7,FALSE,uk,5,2,3,72
Adriatico,4180555504,9,FALSE,italy,5,2,3,72
Udaloi,4182652368,9,FALSE,ussr,5,2,3,72
K?nigsberg,4184782640,5,FALSE,germany,7,3,3,72
Leberecht Maass,4182652720,7,FALSE,germany,4,1,5,71.5
V-170,4185798448,4,FALSE,germany,4,1,4,60
G-101,4186847024,3,FALSE,germany,4,1,4,60
Ragnar,3550360880,10,FALSE,europe,3,2,2,70.4
Tromp,3655218960,10,FALSE,netherlands,5,2,3,69
Tachibana Lima,4280170192,2,TRUE,japan,5,1,5,60
Kl?ber CLR,3445503824,10,FALSE,france,7,2,4,68.8
Kl?ber,4179507024,10,FALSE,france,7,2,4,68.8
Ignacio Allende,4181636432,8,FALSE,pan_america,7,2,4,68.8
Tachibana,4293801680,2,TRUE,japan,5,1,5,60
Almirante Cochrane,4183733584,6,FALSE,pan_america,7,2,4,68.8
Clausewitz,4178491184,11,FALSE,germany,10,3,4,68.4
Cerberus,4284396912,10,FALSE,commonwealth,10,3,4,68.4
J?piter,4188976560,1,FALSE,spain,4,1,4,53.2
Budyonny,4183733712,6,FALSE,ussr,8,3,3,67.5
Leone,3764270832,6,TRUE,italy,8,2,4,56.8
T-22,4184749872,5,FALSE,germany,3,1,4,66.8
Frank Friday,3352180720,9,FALSE,usa,4,1,5,66.5
Le?Hardi,4277024592,7,FALSE,france,5,2,3,65.4
Hobart,4278105456,6,FALSE,commonwealth,7,2,4,64
Diana,4292785616,2,TRUE,ussr,8,1,8,56
Diana Lima,4284397008,2,TRUE,ussr,8,1,8,56
Jupiter?'42,3543021520,7,TRUE,uk,6,2,3,55.2
Almirante Oquendo,3540956592,9,TRUE,spain,13,3,4,55.2
[Shimakaze],3338548944,10,FALSE,japan,5,2,3,63
AL Shimakaze,3361617616,10,FALSE,japan,5,2,3,63
Y?gumo,4075697872,9,FALSE,japan,5,2,3,63
Loyang B,3667801296,8,TRUE,pan_asia,3,1,3,54
Loyang,3762173136,8,TRUE,pan_asia,3,1,3,54
Wichita,3762206704,8,TRUE,usa,10,3,3,54
Shimakaze,4282267344,10,FALSE,japan,5,2,3,63
Omono,4077827792,7,FALSE,japan,11,3,4,62.4
Oleg,3767449040,3,TRUE,ussr,9,1,8,53.6
Wakeful,4185798608,4,FALSE,uk,5,1,4,48
La Galissonni?re,4183734096,6,FALSE,france,9,3,3,60.3
Omaha,4289640432,5,FALSE,usa,8,1,8,60
Shimanto,4076779216,8,FALSE,japan,15,3,5,60
Valkyrie,4186847184,3,FALSE,uk,5,1,4,41.2
Takahashi,4075730640,9,FALSE,japan,15,3,5,60
Minsk,4077794768,7,FALSE,ussr,5,1,5,60
Siliwangi,4076745936,8,TRUE,pan_asia,4,2,2,53.2
Duguay-Trouin,4185831248,4,FALSE,france,12,2,4,40
Friant,4186879824,3,FALSE,france,12,2,4,40
Erie,4293834736,1,FALSE,usa,6,1,4,40
Tenry?,4279154384,3,FALSE,japan,6,1,4,40
Vauquelin,4182652752,7,FALSE,france,5,1,5,60
Stord,4078843184,6,FALSE,europe,4,1,4,60
Mogador,4180555600,9,FALSE,france,8,2,4,60
Z-23,4181604144,8,FALSE,germany,4,1,4,60
Vittorio Cuniberti,4181604080,8,FALSE,italy,6,2,3,60
Huanghe,3764303056,6,TRUE,pan_asia,7,2,3,51.6
Shenyang,4185797840,4,FALSE,pan_asia,6,1,4,36.8
Kotovsky,4069438928,5,FALSE,ussr,8,2,4,58.4
Bourrasque,4185798480,4,FALSE,france,6,1,4,36.4
Murmansk,4291737040,5,TRUE,ussr,7,1,6,51.6
FR25,3763222256,7,TRUE,italy,5,1,5,51.5
Roon CLR,3446585136,9,TRUE,germany,10,3,3,51.3
Wukong,3751720144,8,TRUE,pan_asia,10,3,3,51.3
AL Yukikaze,3541972688,8,TRUE,japan,7,2,3,51
Asashio B,3667801808,8,TRUE,japan,7,2,3,51
HSF Harekaze,3552458448,8,TRUE,japan,7,2,3,51
Asashio,3751687888,8,TRUE,japan,7,2,3,51
Fusilier,4186847056,3,FALSE,france,6,1,4,36.4
Tallinn,4076778960,8,FALSE,ussr,12,3,4,57.6
Van Kinsbergen,4188976912,1,FALSE,netherlands,6,1,4,35.2
Orion?'44,3544102864,6,TRUE,uk,9,2,4,50.4
Mysore,3753817456,6,TRUE,commonwealth,10,3,3,50.4
Dmitri Donskoi,4180587984,9,FALSE,ussr,12,3,4,57.6
Kijkduin,4183734032,6,FALSE,netherlands,8,2,4,56.8
Clemson,4274927600,4,FALSE,usa,7,1,4,34.4
Iwaki Alpha,4267620048,4,TRUE,japan,6,1,5,50
Pyotr Bagration,3730748880,8,TRUE,ussr,11,3,3,49.5
Sampson,4292753392,2,FALSE,usa,7,1,4,34.4
Wickes,4266538992,3,FALSE,usa,7,1,4,34.4
Celebes,4184782608,5,FALSE,netherlands,8,2,4,56.8
Emerald,4184782800,5,FALSE,uk,7,1,7,56
Luca Tarigo,4182652656,7,FALSE,italy,6,2,3,55.2
Encounter,4274959728,9,FALSE,commonwealth,9,3,3,54.9
Delhi,4279154032,5,FALSE,commonwealth,6,2,3,54.6
Gallant,3764271056,6,TRUE,uk,5,1,4,48
Vampire,3767416176,3,TRUE,commonwealth,5,1,4,48
Juru?,3764270416,6,TRUE,pan_america,5,1,4,48
Anshan,3764270288,6,TRUE,pan_asia,5,1,4,48
Alberto di Giussano,4185831152,4,FALSE,italy,15,2,4,32
Chester,4292786160,2,FALSE,usa,8,1,4,30
Baltimore,4181637104,8,FALSE,usa,10,3,3,54
La?Argentina,4184782160,5,FALSE,pan_america,10,3,3,54
Gokase,4078876368,6,FALSE,japan,9,2,4,53.6
Galicia,4184782256,5,FALSE,spain,9,2,4,53.6
Leander,4183734224,6,FALSE,uk,9,2,4,53.6
Gu?pard,4183701328,6,FALSE,france,5,1,5,53.5
Svea,3550393648,10,FALSE,europe,4,2,2,53.2
[Za?],3315513040,10,FALSE,japan,13,3,4,52.8
Za? CLR,3361650384,10,FALSE,japan,13,3,4,52.8
Gremyashchy,4293801424,5,TRUE,ussr,5,1,4,48
ZF-6,3740153648,9,TRUE,germany,3,1,3,47.4
Anchorage,3751720944,8,TRUE,usa,15,3,4,46.8
Za?,4259231440,10,FALSE,japan,13,3,4,52.8
L?beck,3256760112,10,FALSE,germany,6,2,3,52.8
Gibraltar,3655251920,10,FALSE,uk,13,4,3,52.8
[Moskva],3340678608,10,FALSE,ussr,10,3,3,52.2
Moskva,4179539408,10,FALSE,ussr,10,3,3,52.2
Cond?,4178491216,11,FALSE,france,14,4,3,51.6
Rochester,3730749424,8,TRUE,usa,12,3,3,45
Ning Hai,3767448784,3,TRUE,pan_asia,8,2,3,45
Almirante Abreu,3768497488,2,TRUE,pan_america,8,1,6,45
Dante Alighieri,4185863920,4,FALSE,italy,33,3,4,21.6
Elbing,4074649392,10,FALSE,germany,7,2,3,51
Chikuma,4258182864,2,FALSE,japan,11,1,4,20.8
Albany,4291737584,2,TRUE,usa,8,1,6,45
Paolo Emilio,3761125104,9,TRUE,italy,10,2,4,44.8
Francesco Ferruccio,3752769264,7,TRUE,italy,11,4,2,44
Kager?,4076746448,8,FALSE,japan,7,2,3,51
Gangut,4185863632,4,FALSE,ussr,36,3,4,20.4
Kozma Minin,3540956624,9,FALSE,ussr,9,2,4,50.4
Le Fantasque,4181604176,8,FALSE,france,6,1,5,50
Bagration,3720263120,8,FALSE,ussr,11,3,3,49.5
Saint-Louis,4180588368,9,FALSE,france,11,3,3,49.5
Auckland,4276008304,8,FALSE,commonwealth,11,3,3,49.5
Van Speijk,3761157904,9,TRUE,netherlands,12,3,3,43.2
Molotov,3764303312,6,TRUE,ussr,12,3,3,43.2
Gustav-Julius Maerker,4076746544,8,FALSE,germany,6,1,5,49
Georg Hoffmann,3550361392,10,FALSE,germany,7,2,3,48.6
Eastern Dragon,3532568272,7,TRUE,japan,14,2,5,43
ARP Haguro,3551442640,7,TRUE,japan,14,2,5,43
ARP Nachi,3522082512,7,TRUE,japan,14,2,5,43
Southern Dragon,3543054032,7,TRUE,japan,14,2,5,43
ARP Ashigara,3553539792,7,TRUE,japan,14,2,5,43
ARP My?k?,3555636944,7,TRUE,japan,14,2,5,43
Felix Schultz,4075697968,9,FALSE,germany,7,2,3,48.6
Komissar,3445536208,10,FALSE,ussr,15,3,4,48
Muavenet,4079891760,5,FALSE,europe,5,1,4,48
J?ger,3750638896,9,TRUE,europe,4,1,3,42
Okhotnik,3765319120,5,TRUE,ussr,10,1,7,42
Nottingham,3720263632,8,TRUE,uk,13,3,3,41.4
Indianapolis,3763255280,7,TRUE,usa,13,3,3,41.4
Gnevny,4078843344,6,FALSE,ussr,5,1,4,48
Icarus,4183701456,6,FALSE,uk,5,1,4,48
Von der Tann,4082054960,3,FALSE,germany,27,2,4,17.6
Fushun,4183700688,6,FALSE,pan_asia,5,1,4,48
Acasta,4184750032,5,FALSE,uk,5,1,4,48
Akatsuki,4182652624,7,FALSE,japan,7,2,3,48
V?ster?s,4183700784,6,FALSE,europe,7,2,3,48
Ognevoi,4076746192,8,FALSE,ussr,5,2,2,48
Shinonome,3554555600,6,TRUE,japan,9,2,3,40.2
Shinonome?B,3669898960,6,TRUE,japan,9,2,3,40.2
Yahagi,3765352144,5,TRUE,japan,9,2,3,40.2
Canarias,3764303280,6,TRUE,spain,12,2,4,40
Siroco,3766368080,5,TRUE,france,6,1,4,40
Ernst Gaede,4183701296,6,FALSE,germany,5,1,4,46.8
Monmouth,4273911760,10,FALSE,uk,15,4,3,46.8
Queen Mary,4081006544,4,FALSE,uk,30,2,4,16
Ibuki,4282300112,9,FALSE,japan,13,2,5,46
Indefatigable,4082055120,3,FALSE,uk,30,2,4,16
Admiral Hipper,4181636912,8,FALSE,germany,10,2,4,45.6
Prins van?Oranje,3550394128,10,FALSE,netherlands,16,4,3,45.6
Jaguar,4184749904,5,FALSE,france,6,1,5,45.5
Charles Martel,4181636944,8,FALSE,france,12,3,3,45
Kirov,3744380368,5,TRUE,ussr,13,3,3,39.6
South Carolina,4293867504,3,FALSE,usa,30,2,4,16
L'Adroit,4279121744,5,FALSE,france,5,1,4,43.6
Ravenna,3256792816,10,FALSE,italy,21,3,5,43.5
Venezia,4179539696,10,FALSE,italy,21,3,5,43.5
Marlborough,3761190864,9,TRUE,uk,25,4,4,38.4
Novosibirsk,4178490832,11,FALSE,ussr,12,3,3,43.2
Catalu?a,4181636528,8,FALSE,spain,12,3,3,43.2
ARP Maya,3542005456,8,TRUE,japan,16,2,5,38
Atago B,3667834576,8,TRUE,japan,16,2,5,38
ARP Takao,3552491216,8,TRUE,japan,16,2,5,38
Atago,4255037136,8,TRUE,japan,16,2,5,38
My?k?,4286494416,7,FALSE,japan,14,2,5,43
Agano,4079924944,5,FALSE,japan,8,2,3,42.6
Castilla,4179539376,10,FALSE,spain,13,3,3,41.4
Albemarle,4076779472,8,FALSE,uk,13,3,3,41.4
Henri IV,4179539792,10,FALSE,france,13,3,3,41.4
Roon,4180588336,9,FALSE,germany,13,3,3,41.4
Prinz Eugen,3762206512,8,TRUE,germany,13,2,4,36.8
New Orleans,4182685680,7,FALSE,usa,13,3,3,41.4
?mile Bertin,4184782672,5,FALSE,france,13,3,3,41.4
Maestrale,4184749808,5,FALSE,italy,5,2,2,41.2
Y?bari,4290688720,4,TRUE,japan,6,2,2,36.8
Podvoisky,4079891920,5,FALSE,ussr,7,1,5,40
Yorck,4182685488,7,FALSE,germany,12,2,4,40
Alg?rie,4182685520,7,FALSE,france,12,2,4,40
San?Mart?n,4179539280,10,FALSE,pan_america,6,2,2,40
Tianjin,3540956368,9,TRUE,pan_asia,15,3,3,36
Hawkins,4079925200,5,FALSE,uk,10,1,7,39.9
HSF Harekaze II,3741202128,8,TRUE,japan,5,1,3,36
Tashkent?'39,3752736208,7,TRUE,ussr,5,1,3,36
Petrozavodsk,3256792528,10,FALSE,ussr,14,3,3,38.7
Petropavlovsk,3969824208,10,FALSE,ussr,14,3,3,38.7
Riga,4075730384,9,FALSE,ussr,14,3,3,38.7
Andaluc?a,4180587952,9,FALSE,spain,14,3,3,38.7
Surrey,4077828048,7,FALSE,uk,12,2,4,38.4
Goliath,4074682320,10,FALSE,uk,18,3,4,38.4
Jianwei,4184749264,5,FALSE,pan_asia,8,1,5,37.5
Mecklenburg,3655284528,10,FALSE,germany,26,4,4,36.8
Asturias,4182685104,7,FALSE,spain,13,2,4,36.8
Baleares,4183733680,6,FALSE,spain,13,2,4,36.8
Nicholas,4280170480,5,FALSE,usa,6,1,4,36.8
Chungking,4184782032,5,FALSE,pan_asia,9,2,3,36.6
Picardie,3720296272,8,TRUE,france,27,4,4,35.2
Brindisi,4180588272,9,FALSE,italy,20,3,4,36
Vrijheid,3256792848,10,FALSE,netherlands,15,3,3,36
Gouden Leeuw,4179539728,10,FALSE,netherlands,15,3,3,36
Haarlem,4181636880,8,FALSE,netherlands,15,3,3,36
Karl von Sch?nberg,3753785136,6,TRUE,germany,7,1,4,34.4
Katori,3767449296,3,TRUE,japan,7,2,2,34.4
Piemonte,4178491120,11,FALSE,italy,21,3,4,34.8
Devonshire,4078876624,6,FALSE,uk,14,2,4,34.4
Amalfi,4181636848,8,FALSE,italy,16,3,3,34.2
Johan de Witt,4180588304,9,FALSE,netherlands,16,3,3,34.2
Raimondo Montecuccoli,4184782576,5,FALSE,italy,14,2,4,33.6
Aoba,4287542992,6,FALSE,japan,11,2,3,33
Zara,4182685424,7,FALSE,italy,14,2,4,32.8
I-56,3751196368,8,TRUE,japan,1,1,1,33.3
Mikoyan,3754866128,5,TRUE,ussr,11,2,3,33
Puerto Rico,3655251952,10,FALSE,usa,22,3,4,32.4
Sutlej,4293834096,1,FALSE,commonwealth,5,2,3,61.8
Rhode Island,3539941360,10,FALSE,usa,22,4,3,32.4
Lyon,4182718288,7,FALSE,france,30,4,4,32
Gorizia,3658397424,7,TRUE,italy,15,2,4,32
Dupleix,3753817936,6,TRUE,france,15,2,4,32
London,3753818064,6,TRUE,uk,15,2,4,32
Duca degli Abruzzi,3763255024,7,TRUE,italy,7,2,2,32
Black Swan,4188977104,1,FALSE,uk,6,2,3,60
Trento,4183734000,6,FALSE,italy,15,2,4,32
Hatsuharu,4078843600,6,FALSE,japan,7,2,2,32
Fubuki,4183701200,6,FALSE,japan,7,2,2,32
Napoli?B,3676223216,10,FALSE,italy,17,3,3,31.5
Napoli,3760109296,10,FALSE,italy,17,3,3,31.5
Eendracht,4182685456,7,FALSE,netherlands,8,2,2,30
Chikuma?II Golden,3530471120,9,TRUE,japan,16,2,4,30.4
Chikuma?II,3540956880,9,TRUE,japan,16,2,4,30.4
Tone,4276008656,8,TRUE,japan,16,2,4,30.4
Anhalt,3741267760,8,TRUE,germany,30,3,5,30
Monaghan,3764271088,6,TRUE,usa,4,1,2,30
Drake,4075730896,9,FALSE,uk,18,3,3,29.7
